orgUnit_name,period,AFP Confirmed,AFP Sent to Lab,AFP suspected,Anthrax confirmed,Anthrax sent to lab,Anthrax suspected,Cholera confirmed,Cholera sent to lab,Cholera suspected,Diarrhoea Non-Bloody confirmed,Diarrhoea Non-Bloody sent to lab,Diarrhoea Non-Bloody suspecteded,Malaria confirmed,Malaria sent to lab,Malaria suspected,Measles confirmed,Measles sent to lab,Measles suspected,Monkeypox sent to lab,Monkeypox suspected,Plague sent to Lab,Plague suspected,Typhoid fever confirmed,Typhoid fever sent to Lab,Typhoid fever suspected
co Copperbelt Province,2024W14,0,0,0,0,0,0,1,1,125,234,234,2276,9363,21808,30091,0,132,0,0,0,0,0,0,0,1
mu Muchinga Province,2024W14,0,1,5,0,0,0,0,0,0,0,21,754,9540,15626,16425,0,0,12,0,0,0,0,0,0,0
mu Muchinga Province,2024W15,0,0,1,0,0,0,0,0,0,0,0,854,11457,19074,19633,0,0,16,0,0,0,0,0,0,0
nw North-Western Province,2024W15,0,0,0,0,0,0,0,0,0,735,489,1951,18606,35160,38491,0,8,9,0,0,0,0,0,0,2
so Southern Province,2024W15,0,0,0,0,0,0,0,0,0,27,13,2997,650,3272,3406,0,1,1,0,0,0,0,0,0,0
we Western Province,2024W15,0,0,0,0,0,1,0,0,0,40,58,2292,7675,17485,22289,0,0,0,0,0,0,0,0,0,0
co Copperbelt Province,2024W15,0,0,0,0,0,0,10,22,173,255,256,2515,15355,31318,37454,0,1,1,0,0,0,0,0,0,0
no Northern Province,2024W15,0,0,0,0,0,0,0,0,0,0,16,1652,16476,27545,28022,0,0,79,0,0,0,0,0,0,1
ea Eastern Province,2024W15,0,6,7,0,0,0,2,12,15,12,58,4314,22238,44214,45342,0,0,10,0,0,0,0,0,0,0
lu Luapula Province,2024W15,0,1,2,0,0,0,0,0,0,32,32,1454,20486,32882,33748,0,11,7,0,0,0,0,0,0,0
ce Central Province,2024W15,0,0,0,0,0,0,0,0,0,144,26,2734,13306,27663,27386,3,5,8,0,0,0,0,0,0,0
ls Lusaka Province,2024W15,0,1,1,0,0,1,7,24,49,125,173,1488,1283,5936,6294,0,0,1,0,0,0,0,0,0,4
co Copperbelt Province,2024W16,0,0,0,0,0,0,2,7,122,211,211,2129,22821,42872,44681,0,0,0,0,0,0,0,0,1,1
nw North-Western Province,2024W16,0,1,1,0,0,0,0,0,0,806,518,1925,24685,44389,46215,23,0,5,0,0,0,0,1,10,10
so Southern Province,2024W16,0,0,0,0,0,2,1,1,1,34,9,3193,615,3584,3767,0,0,1,0,0,0,0,0,0,0
we Western Province,2024W16,0,1,1,0,0,2,0,0,0,28,22,2556,10055,21660,27087,0,0,0,0,0,0,0,0,0,1
mu Muchinga Province,2024W16,0,0,0,0,0,0,0,0,0,0,0,739,10740,17865,18260,0,0,6,0,0,0,0,0,0,0
no Northern Province,2024W16,0,1,1,0,0,0,0,0,0,0,0,1752,17874,30958,31200,0,2,90,0,0,0,0,0,0,1
ea Eastern Province,2024W16,0,1,1,0,0,0,0,0,2,41,65,3902,23607,45668,47770,3,19,38,0,0,0,1,0,0,0
lu Luapula Province,2024W16,0,0,0,0,0,0,0,0,0,43,33,1662,22362,35973,37694,0,0,1,0,0,0,0,0,0,0
ce Central Province,2024W16,0,1,1,0,0,1,3,3,4,5,46,2908,14721,30343,30505,0,0,1,0,0,0,0,0,0,0
ls Lusaka Province,2024W16,0,2,3,0,0,0,1,14,43,144,172,1650,1212,6327,6649,0,2,4,0,0,0,0,0,0,2
so Southern Province,2024W17,0,1,2,0,0,0,0,0,3,37,9,2968,505,3480,3548,0,1,1,0,0,0,0,0,0,0
co Copperbelt Province,2024W17,0,1,1,0,0,0,6,82,94,222,225,2118,22922,41319,44169,0,1,1,0,0,0,0,0,0,0
nw North-Western Province,2024W17,0,1,1,0,0,0,0,0,0,756,482,1747,23449,41587,42408,4,5,7,0,0,0,0,0,2,2
mu Muchinga Province,2024W17,0,1,1,0,0,0,0,1,1,0,0,801,10574,16976,18249,0,0,5,0,0,0,0,0,0,0
we Western Province,2024W17,0,1,1,0,0,4,0,0,0,60,46,2331,8325,18170,22845,0,0,0,0,0,0,0,0,0,0
ls Lusaka Province,2024W17,0,0,2,0,0,1,4,19,43,25,37,1727,1156,6097,6483,0,1,3,0,0,0,0,0,0,1
no Northern Province,2024W17,0,1,1,0,0,0,0,0,0,0,0,1717,15476,27553,28271,0,0,65,0,0,0,0,0,0,0
ea Eastern Province,2024W17,0,1,1,0,0,0,0,0,0,25,67,3694,26733,47988,51668,0,4,14,0,0,0,0,0,0,0
lu Luapula Province,2024W17,0,1,1,0,0,0,0,0,0,0,59,1490,20703,32936,34333,0,0,2,0,0,0,0,0,0,0
ce Central Province,2024W17,0,0,0,0,0,0,0,0,0,0,35,2878,13854,27608,27876,1,2,4,0,0,0,0,0,0,0
co Copperbelt Province,2024W18,0,0,0,0,0,0,6,36,47,204,201,2113,18440,34961,37390,0,0,0,0,0,0,0,0,0,0
nw North-Western Province,2024W18,0,0,0,0,0,0,0,0,0,697,458,1589,20614,35289,35637,0,0,2,0,0,0,0,0,0,7
so Southern Province,2024W18,0,1,1,0,0,0,0,0,7,0,14,2799,352,2556,2652,0,0,0,0,0,0,0,0,0,0
we Western Province,2024W18,0,0,0,0,0,1,0,0,0,5,2,1918,6735,14866,18318,0,0,0,0,0,0,0,0,0,0
